task_id,crop_name,stage,day_from_sowing_start,day_from_sowing_end,task_category,task,description,frequency,priority
207,Castor,Germination & Establishment,4,22,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
208,Castor,Germination & Establishment,4,22,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
209,Castor,Vegetative Growth,22,68,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
210,Castor,Vegetative Growth,22,68,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
211,Castor,Vegetative Growth,22,68,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
212,Castor,Vegetative Growth,22,68,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
213,Castor,Flowering / Reproductive,68,105,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
214,Castor,Flowering / Reproductive,68,105,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
215,Castor,Flowering / Reproductive,68,105,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
216,Castor,Flowering / Reproductive,68,105,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
217,Castor,Maturity & Pre-Harvest,105,142,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
218,Castor,Maturity & Pre-Harvest,105,142,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
219,Castor,Maturity & Pre-Harvest,105,142,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
220,Castor,Harvest & Post-Harvest,142,150,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
221,Castor,Harvest & Post-Harvest,142,150,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
222,Castor,Harvest & Post-Harvest,142,150,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
223,Sunflower,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
224,Sunflower,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
225,Sunflower,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
226,Sunflower,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
227,Sunflower,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
228,Sunflower,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
229,Sunflower,Germination & Establishment,3,14,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
230,Sunflower,Germination & Establishment,3,14,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
231,Sunflower,Germination & Establishment,3,14,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
232,Sunflower,Vegetative Growth,14,43,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
233,Sunflower,Vegetative Growth,14,43,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
234,Sunflower,Vegetative Growth,14,43,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
235,Sunflower,Vegetative Growth,14,43,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
236,Sunflower,Flowering / Reproductive,43,66,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
237,Sunflower,Flowering / Reproductive,43,66,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
238,Sunflower,Flowering / Reproductive,43,66,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
239,Sunflower,Flowering / Reproductive,43,66,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
240,Sunflower,Maturity & Pre-Harvest,66,90,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
241,Sunflower,Maturity & Pre-Harvest,66,90,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
242,Sunflower,Maturity & Pre-Harvest,66,90,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
243,Sunflower,Harvest & Post-Harvest,90,95,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
244,Sunflower,Harvest & Post-Harvest,90,95,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
245,Sunflower,Harvest & Post-Harvest,90,95,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
246,Sesame,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
247,Sesame,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
248,Sesame,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
249,Sesame,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
250,Sesame,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
251,Sesame,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
252,Sesame,Germination & Establishment,3,14,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
253,Sesame,Germination & Establishment,3,14,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
254,Sesame,Germination & Establishment,3,14,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
255,Sesame,Vegetative Growth,14,40,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
256,Sesame,Vegetative Growth,14,40,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
257,Sesame,Vegetative Growth,14,40,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
258,Sesame,Vegetative Growth,14,40,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
259,Sesame,Flowering / Reproductive,40,63,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
260,Sesame,Flowering / Reproductive,40,63,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
261,Sesame,Flowering / Reproductive,40,63,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
262,Sesame,Flowering / Reproductive,40,63,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
263,Sesame,Maturity & Pre-Harvest,63,86,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
264,Sesame,Maturity & Pre-Harvest,63,86,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
265,Sesame,Maturity & Pre-Harvest,63,86,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
266,Sesame,Harvest & Post-Harvest,86,90,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
267,Sesame,Harvest & Post-Harvest,86,90,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
268,Sesame,Harvest & Post-Harvest,86,90,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
269,Cotton,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
270,Cotton,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
271,Cotton,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
272,Cotton,Sowing,0,5,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
273,Cotton,Sowing,0,5,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
274,Cotton,Sowing,0,5,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
275,Cotton,Germination & Establishment,5,27,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
276,Cotton,Germination & Establishment,5,27,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
277,Cotton,Germination & Establishment,5,27,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
278,Cotton,Vegetative Growth,27,81,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
279,Cotton,Vegetative Growth,27,81,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
280,Cotton,Vegetative Growth,27,81,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
281,Cotton,Vegetative Growth,27,81,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
282,Cotton,Flowering / Reproductive,81,126,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
283,Cotton,Flowering / Reproductive,81,126,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
284,Cotton,Flowering / Reproductive,81,126,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
285,Cotton,Flowering / Reproductive,81,126,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
286,Cotton,Maturity & Pre-Harvest,126,171,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
287,Cotton,Maturity & Pre-Harvest,126,171,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
288,Cotton,Maturity & Pre-Harvest,126,171,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
289,Cotton,Harvest & Post-Harvest,171,180,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
290,Cotton,Harvest & Post-Harvest,171,180,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
291,Cotton,Harvest & Post-Harvest,171,180,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
292,Groundnut,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
293,Groundnut,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
294,Groundnut,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
295,Groundnut,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
296,Groundnut,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
297,Groundnut,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
298,Groundnut,Germination & Establishment,3,16,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
299,Groundnut,Germination & Establishment,3,16,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
300,Groundnut,Germination & Establishment,3,16,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
301,Groundnut,Vegetative Growth,16,50,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
302,Groundnut,Vegetative Growth,16,50,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
303,Groundnut,Vegetative Growth,16,50,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
304,Groundnut,Vegetative Growth,16,50,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
305,Groundnut,Flowering / Reproductive,50,77,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
306,Groundnut,Flowering / Reproductive,50,77,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
307,Groundnut,Flowering / Reproductive,50,77,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
308,Groundnut,Flowering / Reproductive,50,77,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
309,Groundnut,Maturity & Pre-Harvest,77,104,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
310,Groundnut,Maturity & Pre-Harvest,77,104,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
311,Groundnut,Maturity & Pre-Harvest,77,104,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
312,Groundnut,Harvest & Post-Harvest,104,110,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
313,Groundnut,Harvest & Post-Harvest,104,110,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
314,Groundnut,Harvest & Post-Harvest,104,110,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
315,Chilli,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
316,Chilli,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
317,Chilli,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
318,Chilli,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
319,Chilli,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
320,Chilli,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
321,Chilli,Germination & Establishment,4,22,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
322,Chilli,Germination & Establishment,4,22,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
323,Chilli,Germination & Establishment,4,22,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
324,Chilli,Vegetative Growth,22,68,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
325,Chilli,Vegetative Growth,22,68,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
326,Chilli,Vegetative Growth,22,68,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
327,Chilli,Vegetative Growth,22,68,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
328,Chilli,Flowering / Reproductive,68,105,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
329,Chilli,Flowering / Reproductive,68,105,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
330,Chilli,Flowering / Reproductive,68,105,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
331,Chilli,Flowering / Reproductive,68,105,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
332,Chilli,Maturity & Pre-Harvest,105,142,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
333,Chilli,Maturity & Pre-Harvest,105,142,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
334,Chilli,Maturity & Pre-Harvest,105,142,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
335,Chilli,Harvest & Post-Harvest,142,150,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
336,Chilli,Harvest & Post-Harvest,142,150,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
337,Chilli,Harvest & Post-Harvest,142,150,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
338,Wheat,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
339,Wheat,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
340,Wheat,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
341,Wheat,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
342,Wheat,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
343,Wheat,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
344,Wheat,Germination & Establishment,4,18,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
345,Wheat,Germination & Establishment,4,18,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
346,Wheat,Germination & Establishment,4,18,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
347,Wheat,Vegetative Growth,18,54,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
348,Wheat,Vegetative Growth,18,54,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
349,Wheat,Vegetative Growth,18,54,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
350,Wheat,Vegetative Growth,18,54,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
351,Wheat,Flowering / Reproductive,54,84,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
352,Wheat,Flowering / Reproductive,54,84,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
353,Wheat,Flowering / Reproductive,54,84,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
354,Wheat,Flowering / Reproductive,54,84,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
355,Wheat,Maturity & Pre-Harvest,84,114,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
356,Wheat,Maturity & Pre-Harvest,84,114,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
357,Wheat,Maturity & Pre-Harvest,84,114,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
358,Wheat,Harvest & Post-Harvest,114,120,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
359,Wheat,Harvest & Post-Harvest,114,120,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
360,Wheat,Harvest & Post-Harvest,114,120,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
361,Sugarcane,Land Preparation,-30,0,Land Prep,Pit/field preparation,Dig pits or prepare beds with FYM incorporation.,One-time,Medium
362,Sugarcane,Land Preparation,-30,0,Land Prep,Layout & spacing,Mark planting layout per recommended spacing.,One-time,Medium
363,Sugarcane,Planting/Establishment,0,30,Sowing,Transplanting/Planting,Plant healthy seedlings/suckers/setts at correct depth.,One-time,Medium
364,Sugarcane,Planting/Establishment,0,30,Irrigation,Establishment irrigation,Irrigate immediately after planting and at frequent intervals.,Every 3-5 days,High
365,Sugarcane,Planting/Establishment,0,30,Monitoring,Gap filling,Replace dead/weak plants within first month.,One-time,Medium
366,Sugarcane,Vegetative Growth,30,150,Fertilizer,Basal + split fertilizer,Apply NPK in split doses as per crop stage.,Monthly,High
367,Sugarcane,Vegetative Growth,30,150,Irrigation,Regular irrigation,Maintain consistent moisture as per crop water requirement.,Weekly,High
368,Sugarcane,Vegetative Growth,30,150,Weeding,Weed control,Remove weeds/mulch to conserve moisture and reduce competition.,Monthly,Medium
369,Sugarcane,Vegetative Growth,30,150,Pest Scouting,Routine pest scouting,"Check for borers, mites, and sucking pests.",Weekly,High
370,Sugarcane,Flowering/Fruiting,150,250,Fertilizer,Flowering-stage nutrition,Apply K-rich fertilizer to support flowering/fruit set.,Monthly,High
371,Sugarcane,Flowering/Fruiting,150,250,Irrigation,Critical stage irrigation,Avoid moisture stress during flowering/fruit development.,Weekly,High
372,Sugarcane,Flowering/Fruiting,150,250,Disease Scouting,Fungal/bacterial disease check,"Inspect for wilt/leaf spot/anthracnose, especially in humid weather.",Weekly,Medium
373,Sugarcane,Maturity & Harvest,250,365,Monitoring,Maturity indicators,Check color/size/firmness for harvest readiness.,Weekly,Medium
374,Sugarcane,Maturity & Harvest,250,365,Harvest,Harvesting,Harvest in stages as produce matures.,As needed,Medium
375,Sugarcane,Maturity & Harvest,250,365,Post-Harvest,Grading & storage,"Grade, pack and store/transport produce promptly.",One-time,Medium
376,MungBean,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
377,MungBean,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
378,MungBean,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
379,MungBean,Sowing,0,2,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
380,MungBean,Sowing,0,2,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
381,MungBean,Sowing,0,2,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
382,MungBean,Germination & Establishment,2,10,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
383,MungBean,Germination & Establishment,2,10,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
384,MungBean,Germination & Establishment,2,10,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
385,MungBean,Vegetative Growth,10,29,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
386,MungBean,Vegetative Growth,10,29,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
387,MungBean,Vegetative Growth,10,29,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
388,MungBean,Vegetative Growth,10,29,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
389,MungBean,Flowering / Reproductive,29,46,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
390,MungBean,Flowering / Reproductive,29,46,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
391,MungBean,Flowering / Reproductive,29,46,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
392,MungBean,Flowering / Reproductive,29,46,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
393,MungBean,Maturity & Pre-Harvest,46,62,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
394,MungBean,Maturity & Pre-Harvest,46,62,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
395,MungBean,Maturity & Pre-Harvest,46,62,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
396,MungBean,Harvest & Post-Harvest,62,65,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
397,MungBean,Harvest & Post-Harvest,62,65,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
398,MungBean,Harvest & Post-Harvest,62,65,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
399,Turmeric,Land Preparation,-30,0,Land Prep,Pit/field preparation,Dig pits or prepare beds with FYM incorporation.,One-time,Medium
400,Turmeric,Land Preparation,-30,0,Land Prep,Layout & spacing,Mark planting layout per recommended spacing.,One-time,Medium
401,Turmeric,Planting/Establishment,0,30,Sowing,Transplanting/Planting,Plant healthy seedlings/suckers/setts at correct depth.,One-time,Medium
402,Turmeric,Planting/Establishment,0,30,Irrigation,Establishment irrigation,Irrigate immediately after planting and at frequent intervals.,Every 3-5 days,High
403,Turmeric,Planting/Establishment,0,30,Monitoring,Gap filling,Replace dead/weak plants within first month.,One-time,Medium
404,Turmeric,Vegetative Growth,30,150,Fertilizer,Basal + split fertilizer,Apply NPK in split doses as per crop stage.,Monthly,High
405,Turmeric,Vegetative Growth,30,150,Irrigation,Regular irrigation,Maintain consistent moisture as per crop water requirement.,Weekly,High
406,Turmeric,Vegetative Growth,30,150,Weeding,Weed control,Remove weeds/mulch to conserve moisture and reduce competition.,Monthly,Medium
407,Turmeric,Vegetative Growth,30,150,Pest Scouting,Routine pest scouting,"Check for borers, mites, and sucking pests.",Weekly,High
408,Turmeric,Flowering/Fruiting,150,250,Fertilizer,Flowering-stage nutrition,Apply K-rich fertilizer to support flowering/fruit set.,Monthly,High
409,Turmeric,Flowering/Fruiting,150,250,Irrigation,Critical stage irrigation,Avoid moisture stress during flowering/fruit development.,Weekly,High
410,Turmeric,Flowering/Fruiting,150,250,Disease Scouting,Fungal/bacterial disease check,"Inspect for wilt/leaf spot/anthracnose, especially in humid weather.",Weekly,Medium
